iter	Passed	Remaining
0	1	175
1	3	164
2	4	153
3	5	140
4	7	136
5	8	133
6	9	131
7	12	139
8	13	141
9	15	140
10	16	137
11	18	135
12	19	132
13	21	130
14	22	128
15	24	127
16	26	127
17	27	126
18	29	125
19	30	123
20	32	121
21	33	118
22	34	116
23	36	114
24	37	112
25	39	111
26	40	110
27	42	109
28	44	107
29	45	105
30	46	104
31	48	102
32	49	100
33	50	98
34	52	97
35	53	95
36	55	94
37	56	92
38	58	91
39	59	89
40	61	88
41	61	85
42	63	83
43	64	82
44	66	80
45	67	79
46	69	78
47	71	77
48	73	76
49	75	75
50	76	73
51	78	72
52	79	70
53	81	69
54	82	67
55	83	65
56	85	64
57	86	62
58	88	61
59	89	59
60	90	58
61	92	56
62	93	54
63	94	53
64	96	51
65	97	50
66	99	48
67	100	47
68	102	45
69	103	44
70	105	42
71	106	41
72	107	39
73	109	38
74	110	36
75	111	35
76	113	33
77	114	32
78	116	31
79	118	29
80	119	28
81	121	26
82	122	25
83	124	23
84	126	22
85	127	20
86	128	19
87	130	17
88	132	16
89	134	14
90	136	13
91	137	11
92	139	10
93	140	8
94	141	7
95	142	5
96	144	4
97	146	2
98	147	1
99	149	0
