iter	Passed	Remaining
0	160	160176
1	162	80906
2	163	54381
3	165	41088
4	166	33129
5	168	27961
6	171	24260
7	172	21429
8	174	19198
9	175	17413
10	178	16003
11	179	14798
12	181	13776
13	185	13063
14	187	12341
15	189	11643
16	190	11023
17	192	10481
18	193	9992
19	194	9550
20	197	9185
21	199	8859
22	201	8550
23	202	8244
24	204	7958
25	205	7695
26	206	7459
27	208	7236
28	209	7026
29	212	6855
30	216	6769
31	219	6647
32	221	6480
33	222	6327
34	224	6176
35	225	6043
36	227	5931
37	230	5825
38	231	5705
39	232	5590
40	234	5492
41	236	5400
42	238	5305
43	241	5236
44	242	5148
45	244	5063
46	245	4978
47	247	4899
48	248	4822
49	249	4749
50	251	4677
51	252	4612
52	254	4553
53	256	4497
54	258	4440
55	259	4380
56	261	4320
57	262	4268
58	264	4219
59	266	4168
60	267	4117
61	270	4085
62	271	4043
63	273	3998
64	275	3965
65	277	3927
66	279	3887
67	280	3850
68	282	3811
69	285	3791
70	287	3759
71	289	3729
72	291	3696
73	292	3663
74	294	3629
75	295	3594
76	301	3615
77	303	3592
78	305	3562
79	307	3533
80	308	3503
81	310	3473
82	311	3438
83	313	3415
84	314	3390
85	316	3366
86	318	3342
87	320	3316
88	321	3290
89	322	3264
90	324	3238
91	325	3213
92	328	3200
93	332	3201
94	334	3183
95	335	3161
96	337	3140
97	339	3121
98	340	3099
99	342	3080
100	344	3066
101	346	3047
102	348	3032
103	349	3014
104	351	2994
105	352	2975
106	354	2955
107	355	2939
108	358	2928
109	360	2916
110	362	2899
111	363	2883
112	365	2867
113	367	2852
114	368	2836
115	370	2819
116	371	2801
117	372	2786
118	375	2783
119	377	2771
120	380	2762
121	382	2749
122	383	2736
123	386	2728
124	390	2732
125	392	2719
126	393	2704
127	395	2691
128	396	2680
129	399	2670
130	400	2657
131	402	2644
132	404	2636
133	406	2627
134	408	2614
135	409	2602
136	411	2589
137	412	2576
138	413	2564
139	415	2552
140	417	2543
141	419	2532
142	421	2523
143	422	2512
144	424	2501
145	425	2490
146	427	2478
147	428	2466
148	430	2457
149	431	2447
150	434	2442
151	436	2434
152	437	2424
153	439	2413
154	441	2404
155	442	2396
156	444	2387
157	446	2378
158	450	2381
159	452	2373
160	453	2362
161	454	2353
162	456	2345
163	458	2335
164	459	2325
165	461	2316
166	463	2312
167	465	2305
168	467	2298
169	468	2288
170	470	2281
171	472	2273
172	473	2263
173	475	2256
174	477	2252
175	479	2244
176	481	2236
177	483	2230
178	485	2225
179	487	2219
180	488	2212
181	491	2207
182	493	2205
183	495	2198
184	497	2192
185	499	2186
186	501	2178
187	502	2170
188	503	2161
189	505	2153
190	507	2148
191	509	2143
192	511	2137
193	512	2130
194	514	2123
195	516	2117
196	517	2110
197	519	2103
198	520	2095
199	522	2091
200	524	2085
201	526	2079
202	528	2073
203	529	2067
204	531	2060
205	532	2053
206	534	2045
207	535	2038
208	542	2052
209	544	2047
210	546	2041
211	547	2036
212	549	2029
213	550	2022
214	552	2017
215	554	2012
216	556	2008
217	558	2002
218	559	1995
219	560	1988
220	562	1981
221	563	1974
222	564	1968
223	567	1965
224	569	1962
225	571	1956
226	572	1950
227	574	1944
228	575	1939
229	577	1933
230	578	1926
231	580	1920
232	582	1917
233	585	1916
234	587	1912
235	589	1907
236	591	1903
237	592	1897
238	594	1891
239	595	1886
240	597	1882
241	599	1876
242	600	1871
243	602	1866
244	603	1860
245	605	1857
246	607	1851
247	609	1846
248	611	1842
249	613	1839
250	615	1836
251	617	1831
252	618	1826
253	620	1822
254	622	1818
255	624	1814
256	640	1850
257	642	1846
258	643	1842
259	646	1838
260	647	1833
261	649	1829
262	650	1823
263	652	1818
264	653	1813
265	655	1808
266	657	1803
267	660	1803
268	664	1806
269	666	1802
270	668	1797
271	669	1793
272	673	1792
273	675	1789
274	677	1785
275	678	1781
276	680	1776
277	682	1773
278	684	1769
279	692	1780
280	695	1778
281	697	1775
282	698	1770
283	700	1765
284	702	1762
285	704	1759
286	706	1755
287	708	1751
288	710	1746
289	712	1743
290	714	1740
291	716	1736
292	719	1736
293	721	1732
294	722	1727
295	724	1723
296	726	1719
297	728	1715
298	729	1711
299	731	1706
300	733	1704
301	735	1700
302	737	1696
303	739	1692
304	741	1689
305	742	1684
306	744	1679
307	745	1674
308	747	1671
309	749	1668
310	751	1664
311	752	1660
312	754	1656
313	755	1651
314	757	1647
315	759	1642
316	760	1638
317	762	1635
318	763	1630
319	765	1627
320	767	1623
321	769	1620
322	770	1615
323	772	1611
324	773	1606
325	775	1602
326	776	1598
327	781	1600
328	782	1596
329	784	1592
330	785	1587
331	786	1583
332	788	1579
333	790	1575
334	791	1571
335	793	1568
336	795	1564
337	796	1560
338	798	1557
339	800	1553
340	801	1548
341	802	1544
342	804	1540
343	805	1536
344	809	1537
345	811	1534
346	813	1530
347	815	1527
348	817	1524
349	818	1520
350	820	1516
351	822	1515
352	824	1511
353	826	1507
354	827	1504
355	829	1500
356	830	1496
357	832	1492
358	833	1488
359	834	1484
360	838	1483
361	839	1479
362	841	1476
363	842	1472
364	844	1468
365	845	1464
366	847	1461
367	848	1457
368	850	1453
369	852	1452
370	854	1449
371	856	1446
372	858	1442
373	859	1438
374	860	1434
375	862	1430
376	863	1426
377	865	1423
378	868	1422
379	869	1419
380	871	1415
381	872	1411
382	874	1408
383	875	1404
384	877	1401
385	878	1397
386	880	1394
387	882	1392
388	884	1389
389	886	1385
390	887	1382
391	889	1378
392	890	1375
393	891	1371
394	893	1368
395	895	1365
396	898	1365
397	900	1361
398	901	1358
399	903	1355
400	905	1351
401	906	1348
402	908	1345
403	909	1341
404	910	1338
405	913	1335
406	914	1332
407	916	1329
408	917	1326
409	919	1322
410	921	1319
411	922	1317
412	924	1314
413	927	1312
414	930	1311
415	932	1309
416	935	1307
417	936	1304
418	938	1301
419	940	1298
420	942	1296
421	944	1294
422	947	1292
423	949	1289
424	952	1288
425	953	1285
426	955	1282
427	958	1281
428	960	1278
429	963	1276
430	965	1274
431	967	1271
432	969	1269
433	971	1267
434	973	1264
435	975	1262
436	977	1259
437	980	1257
438	981	1254
439	983	1251
440	985	1248
441	988	1247
442	990	1245
443	991	1242
444	993	1239
445	995	1236
446	998	1235
447	1000	1233
448	1003	1231
449	1005	1228
450	1007	1225
451	1008	1222
452	1010	1220
453	1012	1217
454	1014	1214
455	1015	1211
456	1018	1210
457	1023	1211
458	1025	1208
459	1027	1205
460	1028	1203
461	1030	1200
462	1032	1197
463	1034	1195
464	1036	1192
465	1038	1189
466	1039	1186
467	1041	1183
468	1042	1180
469	1044	1177
470	1047	1176
471	1049	1173
472	1051	1171
473	1053	1168
474	1054	1165
475	1056	1162
476	1057	1159
477	1059	1156
478	1060	1153
479	1062	1151
480	1063	1148
481	1065	1145
482	1067	1142
483	1068	1139
484	1070	1136
485	1071	1133
486	1072	1130
487	1074	1127
488	1077	1125
489	1078	1122
490	1080	1119
491	1081	1116
492	1083	1113
493	1084	1110
494	1086	1108
495	1087	1105
496	1089	1102
497	1091	1099
